1
627 2696
410005574 608579425 810241690
271361056 615480363 802788539
419676475 876333817 433984809
19573034 489592943 44060252
746384695 850437358 229460874
150549993 778385803 114863295
160946892 854041849 435661021
399713815 627368679 376502868
130795858 239899765 138173537
740041987 842256782 835578737
92615116 150733049 47271079
804214358 825885464 740863285
126542130 389014643 86443443
104400635 886753354 890114794
329750619 709980574 362818520
174365398 304071042 457485729
161900279 536708047 685017112
366426892 585200643 213241769
208757905 610015988 306538673
573211424 767243853 8533418
489513053 858018582 476978499
158111654 643535952 502249074
758420793 833181223 516610330
45529665 555780260 804923089
280547999 634815235 366984956
192299810 492642517 518548029
18664888 650877671 840302104
491640084 504279684 763167873
3242191 566643431 373239571
17642124 708552273 601594159
508081843 782305762 344198933
571417957 619267744 214967773
732220760 775638154 605404966
781725890 819000769 455071923
283294254 386886532 578751538
234628674 876500685 771031626
155104308 266062821 131030637
743844192 828102591 81337368
161071802 849922286 487197667
92656739 329254701 358034852
46314419 276557778 128370685
670839214 829533735 369367684
292191944 499697775 710908493
344341221 855850771 855687931
283796532 822234249 124324943
24091662 549021412 54135673
203454349 737523181 568711466
215192623 684729235 157337668
166792302 828197900 831170098
354202706 858634814 831869389
834890260 840302308 298932372
294793699 679784582 671228445
562742605 864548662 386026182
28220334 93817035 649010331
360409006 753861255 611511510
325104456 868267516 658811986
377995109 839747578 710005678
8151920 758300416 604299954
487514250 532427279 668983867
127259283 440714337 862261023
282804858 336405131 111942255
139004079 477069710 192617546
350885917 714369670 839001827
688556444 809944335 645468578
135170094 725455672 198682687
316253606 756462894 514842919
542735719 645877627 401653755
410181083 432352585 457154121
126743726 249059460 692641669
99585914 554185824 267513427
599225512 774406807 898599741
83377905 419646554 688233358
149982463 894402933 165061619
573063003 674251188 242449904
77355548 554720172 767834203
401897841 718816996 309252380
512980248 647981278 302755900
531881879 788318407 216510890
290314449 642328774 469434961
47686597 100307275 850006631
595072008 858384062 889386611
33936805 397631046 279620248
423754483 599642212 371065364
227957846 786764573 411451644
9235524 755961740 635195195
345473746 454621250 231792300
283887703 598297810 720593543
340615767 671346613 243936574
368251995 573854033 501822044
349406298 428577549 598045891
542664652 611159077 560485305
13170365 676312851 491820547
450878899 586917744 114009272
724091044 810009382 264860108
133358286 812877983 36114184
286402119 596025450 361926970
579021365 645241996 101394167
211956970 885846587 626154164
1111614 414185711 489843911
815763258 843290130 548604988
109460897 546856018 11176530
673755986 862193405 99256487
360744570 514443169 585446704
335397138 696624222 895017932
83817428 229142974 632583446
270593994 668351958 687333672
363946319 772664785 241387484
200626939 377182717 298934830
415989949 620942760 185321324
393129595 539473906 824067648
126552355 364154837 574219998
383717210 790683375 499240368
243005192 317546499 306665444
620698226 657914895 352835023
355392395 463833169 876460193
707434375 830446624 670232464
231932894 242816195 584154902
332247038 544009478 597812769
66866158 412389373 754217935
87419532 292683158 768019717
156916308 593542898 786171900
126010312 705582844 284293391
391111833 839917487 48063057
72219837 813392714 527282040
633092923 792743101 289916321
93541386 158848353 271730601
210259280 507464056 384948806
119404982 440634313 724557036
138583186 645776827 728479397
224513101 778295351 705283623
398858121 569725844 82481380
677267406 839228809 589657641
503068039 845256932 369134666
343184903 854700061 701606980
87419596 587092245 84125204
611627063 759429042 187586046
9850864 849021899 337845532
317179870 525050460 490291965
168208328 553451748 501545830
420750333 648506697 610752528
322861812 804226975 714939812
370738521 873963318 114767620
277309239 821002270 792760530
15100614 341559184 445885725
242860496 797619895 373038929
1039852 95966838 248791367
147947425 217208154 41888942
2191440 522540300 784954498
210253994 713689673 220887015
724786443 853121074 321134750
608047747 729665752 484985162
350204985 374776168 120960796
446710003 678146505 174773396
42591790 238024216 420445465
267907313 383343978 229918808
120046631 371085836 624179955
202753707 234173437 790196346
824213334 834629405 431579322
203489745 331609952 756107996
268473419 777221905 846601993
303108145 379830213 584976665
4351371 103677267 768049766
44986563 848341550 625907488
359240436 656880936 728466345
1959332 682778432 479685590
610074480 706985422 253027678
87290690 774455536 813653496
557106221 593496562 420777283
48993280 201212242 770101646
283404210 713244659 788401899
25776118 447871746 708272995
258887555 459142150 523078294
15647776 117961796 187604512
303196074 790347135 308327105
213764780 507527637 419065291
369339594 728326035 70022163
634427656 670914008 298967664
126581312 790959632 295749047
39030568 39216946 789366112
287986556 319113997 617625403
544884698 657527054 745240687
380532367 501943705 362831874
525088186 854687976 77180113
26275671 273976699 768396530
269494344 721260209 193271477
376268511 383230607 707832292
555519721 828427728 465980031
61366866 872371756 47972196
560668343 897998733 147711034
194753816 261663989 754427903
377778809 870536577 412117594
237087937 585694564 120729553
483045715 610799330 162386991
703581946 782960686 409464090
222503843 827716018 229370217
244846625 434914262 670723651
546657734 835024511 433759813
150656807 426613307 36104639
601071622 633786316 525097542
4623910 591455794 544766397
759433671 823435346 154985130
114821461 165888840 203776718
165115709 392687374 25834714
488022634 562009581 630161044
220960132 898566446 139317097
213528264 755246544 475305331
47212047 233789802 226198675
74150357 430027303 495699424
70365035 827634882 375397041
442053227 680357701 440170335
77449628 331980301 442038885
329572805 414219658 798098205
308322214 587135189 738772275
836863879 854585038 569477040
316522333 758454662 305922693
574820147 883332929 283480792
76803105 233857108 530846265
397734471 790479840 669623232
508825950 793215266 724468358
9607401 171531489 817350504
118469589 597934296 358291138
23647097 25255432 175525434
228337577 584084027 286206082
417031716 553889432 155221665
80172175 305676110 715079539
37824719 816033391 640569700
346817542 753078275 884961624
92204013 324795127 70921564
281652643 751541447 428657711
261198385 267191969 246698455
245927238 493400425 370591700
435111631 856654590 818052719
30789168 718791195 717732816
16131817 534116977 612829125
745129061 881214397 307039075
364673243 511285323 103063449
226715688 750218788 406928904
665980479 671387436 242674804
21747385 296205802 171426639
24685533 570656968 515054537
168291029 772468417 462396168
491166747 898169547 492881460
258638986 733573546 566586425
2749408 702357986 847722588
574050734 590750572 144461386
816310613 890021025 837093087
126391179 556407317 102896084
254727869 264197733 406655470
508863638 859105049 632251717
485474800 858440424 646812879
405063436 590737185 146003784
757925044 878132040 576832204
171202236 266496192 77450588
608505275 869156051 308149958
613047682 742302497 45437159
105904703 767613543 604975173
435700402 452236113 314055021
182711714 400360470 721781773
31565535 690940636 376618671
611050596 619666874 322659599
322059845 686807624 532575017
453405920 553715585 742633268
113300664 503101199 840683764
685615210 740821028 443240264
536481993 865519379 1392304
12875745 898027157 823828932
134222108 492062038 513787093
137377512 513959225 655230346
92728378 691006692 690717077
272360977 831030759 847243577
365595952 835970506 819896017
130625970 848850864 710254131
171946971 526247722 595089110
188710346 554242390 153493003
302486762 370842697 9525866
254252924 727196671 702179925
527335812 883033968 306823066
393457398 429105976 324951047
548815641 812863570 66376773
627350686 766514452 445151352
262565674 554327907 420358979
270258874 534824228 611403875
839962600 899474933 556928441
181522950 715321822 715165244
625531268 769980678 370287817
512440648 697816550 634283751
206493151 484257213 856091339
257177348 330102832 810668234
268607568 429766403 825657609
142933665 733349992 255161259
331205277 862552581 614886201
26922605 441589950 54425261
75070279 650363515 267653476
54809577 100939015 610255062
65238800 485377264 702105878
533260077 867981301 174467260
101153101 816119601 321592941
221822806 329382289 692820874
169099444 358504613 83933830
405484471 494434659 523724685
126868868 653659601 701980122
264635198 432213911 489866525
382747618 562289927 216205188
444407028 462680842 328021205
247678713 435363713 1075915
239263649 841138933 94562910
131072335 475607914 174959146
150570579 667729990 483029555
22702095 293637189 31236361
422871922 440544471 795381695
190101253 588779590 579303005
490771847 771237769 486035902
345922 631009821 808296386
414325681 856354239 442217372
500489457 684015792 235400917
41730455 821186621 765975388
485652615 720170045 315667669
5383254 21659906 441519173
110441615 827058119 754777214
505039238 888949327 475449581
116053810 383282651 152497956
296300932 750036910 473147032
104255870 596733387 790260973
166221811 752317770 615209345
760801296 857660170 59838418
190734999 473578201 722444132
68603205 875913777 181587883
130440380 362983885 296957965
135595200 587169940 784431530
16310621 145693250 658746407
403716781 455211455 520655788
572727716 579517225 709311591
51357729 862353032 436172852
253496998 437554838 55036724
235531408 764985046 868478172
238433953 630429182 768058725
320623618 495769937 223152954
202133550 645946075 830329718
163432152 368437341 454977760
273579456 543483511 318366505
435159659 448816792 300956556
400892927 458011788 610806709
246726510 299730763 808285961
91619370 838564806 781010103
101305860 281333776 126504859
540554708 856982065 61552867
164802958 759526271 612013173
450749031 548919400 276229312
57445555 332413760 146761971
30385219 90206036 76374542
351626628 740660065 412356387
115716100 827681057 778605884
170950835 820201452 124124940
553880247 558591976 781152848
223458659 851784044 339370394
226466174 436173639 879409290
431776785 684648382 396794049
628635137 898365253 42434146
480818646 867634348 304071283
12600957 15082112 421899707
25649374 588635529 357655217
138997955 535576096 682430139
373676304 690115536 728671801
99848241 619279947 353863637
303006711 729690066 551803341
115170916 517412386 185723601
73761130 893954588 569539623
97378129 270256785 67386575
202349406 694683927 6831501
463348045 694485210 414907601
532455084 600842551 706616110
264323711 689852098 429233673
569841476 855615028 488731975
441098526 765150411 843470288
771908291 829892888 360170866
111128284 726361255 784009322
516983029 660095355 114182376
531306813 872245026 65737588
674232932 863661628 439690660
454267017 480047451 278406847
377539509 551279520 293163641
365729998 797020110 635515456
8816461 574791872 591679588
700158073 861858001 231475586
255645684 629652449 120493254
302461868 722035513 327797187
217500877 811122746 503617515
416107710 555146123 359225717
313063153 860608468 664998901
335369096 882867455 16342089
7618000 581194358 206694787
102472417 595791016 854617995
539434239 820712107 645194345
63854661 340605058 43983301
392401937 776834737 52853080
716012893 797130980 778570596
313384594 718632715 594761752
151820501 265636169 895757765
104173505 881537092 645191905
153284345 864402134 6264484
147751945 411442518 870873493
392800707 495700105 881856135
703525737 751215775 174493622
200802325 602268881 657064331
223754912 777064741 333113701
35103866 56549868 604563817
37721661 261777301 702569962
339500414 818852967 780526339
182641279 817737426 456797382
102810418 772911869 417048547
624295490 825749301 463973669
229457959 762203385 84515107
323885723 570808261 837954517
363256102 391738407 572275883
306162317 521557185 199671262
220090944 873897511 131218003
250750093 261990195 736520965
569275609 894852574 263379341
715724287 798211704 584408466
495676919 889922573 816773667
232522217 486145163 827958631
228219811 397078955 453829768
22983046 645255952 882219601
39748847 317849802 143629068
311188967 716836642 247478060
344823908 435279584 327042951
722048130 732845258 123237079
502000320 891636282 4155608
188681261 614472075 202250948
80955025 831958022 26485338
199890702 823963483 303214901
370862655 579277995 145702776
8339196 70544927 155654830
191286030 564255902 439078949
513489114 853426614 454379919
273398419 690644215 76646084
485772835 575945864 212912986
518996615 780999922 737052508
280700221 397720079 88567937
136373821 453921731 431210681
120491700 278609764 710987680
291331323 702956440 280197160
278181814 413654086 685091474
73379565 313810055 671766609
579393400 760256564 705704975
553846876 875826836 248806512
213179662 528903396 514862696
583179444 765732656 731687167
578538476 826826133 286024773
790277080 800543491 608504608
3610119 710847404 581662806
2079783 556832835 747654076
71145164 462405964 407428766
445270431 736744128 782842321
381796042 742594103 45401411
125049706 774447892 62368914
386156884 508358482 879737565
220347289 510632698 607478933
251389083 663416393 860673196
74204972 434297620 53851703
548622237 854436227 496104167
150430943 616086693 623412794
411040475 648350456 290592489
663490050 851627946 311336461
544765583 859717641 630652877
118493459 162956562 99643071
231696096 706807861 863331319
360982476 807372240 332654140
449980698 630728940 874006123
670600264 704696746 893038858
804326913 890855641 121330453
5136556 29344709 637409368
177420920 714645603 201981939
312971294 877044953 547950870
545882015 690387121 609475769
299814563 375433958 583178157
665210556 764573552 53273870
294958297 694258764 469102908
50513923 74789718 308948571
506708715 837067551 440381032
455067921 500149581 831310087
25854338 96094499 70200783
388183672 672956637 282624368
357153846 726295112 656988688
348798823 776333900 668259483
128604185 257564035 739687522
37365074 683837474 640571327
447009407 567174226 15684795
406524022 673315841 384653526
42227699 898595255 723520116
235592772 823788590 462014430
30443816 516476212 161994866
261715900 697580281 583030405
627871261 709128927 600327542
400970168 661938849 797205268
777949485 855645107 42805664
320027781 445176946 607721902
48660166 128466364 540106789
124023834 705686626 89065218
398733209 705201293 298455139
423336510 471197362 436359693
240500336 694831015 67767872
517162703 652656917 415692867
454081099 856684098 328285651
218954981 629788691 788072127
42415464 372188137 239583910
224761672 572362464 170459520
595009436 725484452 295273152
221745892 352544632 135915270
40938216 722014841 305471046
594565458 719098663 145170701
5467322 560175868 139848051
276039510 853602930 666042631
226291791 675787384 480519828
233019630 272388432 756320744
115399814 747292704 208465049
235788698 625074702 824772365
524673863 839970237 557520483
426263521 457623091 507227968
17417008 300560813 82081921
346018078 360349526 473009159
114415172 694178258 308463853
176018393 218981557 230068857
136951367 410281251 443721878
